"","SQWs","SQWs_Tmin","SQWs_cdd","SQWs_cdd_Tmin","SQW_NoPbase","GRP","SQW","SQW_Tmin","SQW_cdd","SQW_Pi_Tmin","PAW","SQW_cdd_Tmin","PAWs","SQWs_Pi_Tmin","PAb","LIN","SM1b","PA","PTTs","SM1","M1s","PTT","TTs","SQWr","SQWrs","TT","M1","UM1","AT","PM1","PM1b","SQ","SQb","AGSI","PWTs","M1Ws","WT","PWT","WTs","M1W","SGSI"
"lethbridge_2019",-2,-4,-5,-2,0,1,6,0,0,-1,4,0,5,5,6,2.60477635790627,5,5,2,6,4,6,4,6,6,5,7,6,9,6,6,5,5,4,1,1,6,6,2,6,2
"lethbridge_2020",-5,1,1,-2,-5,-3,0,-5,-5,-6,-1,-5,-1,-1,0,-1.70571231124859,-1,4,1,-2,1,-1,-1,-2,-2,-2,2,1,-1,-1,-1,-1,-1,-2,-2,-2,5,5,-1,5,2
"monture_2002",3,0,4,1,1,1,-2,1,1,0,-3,1,-2,-2,1,0.640008326702883,-3,5,7,-3,5,-2,-2,-7,4,-3,0,6,1,-2,-2,-3,-3,-5,9,9,4,4,10,4,-10
"monture_2003",-12,-19,-19,-7,-17,-18,-16,-17,-17,-17,-18,-17,-17,-17,-18,-19.784872297858,-20,-18,-18,-20,-19,-21,-21,-21,-18,-21,-22,-18,-23,-21,-21,-21,-21,-22,-19,-19,-22,-22,-17,-22,-33
"monture_2004",4,5,4,2,5,4,9,5,5,5,8,5,8,8,5,-2.60123051565103,5,-4,-2,4,-1,3,2,0,1,4,2,-1,2,2,3,4,4,-3,-5,-5,0,0,-4,0,-24
"monture_2005",-13,-14,-15,-17,-10,-9,-2,-10,-10,-12,-4,-10,-3,-3,-4,-8.5638516211188,-5,-4,-5,-6,-6,-7,-7,-7,-8,-6,-7,-5,-10,-7,-7,-6,-6,-8,-8,-9,1,1,-8,1,-5
"monture_2006",5,7,5,6,1,0,5,1,1,5,4,1,4,5,3,2.76570599509054,4,5,4,3,3,3,3,-7,-4,4,3,4,4,3,3,4,4,-1,3,2,-7,-7,4,-7,-3
"monture_2008",9,4,9,2,5,6,15,5,5,11,14,5,15,15,15,12.1791076683641,11,14,17,10,15,11,11,12,6,11,10,7,6,11,11,11,11,5,18,18,14,14,20,14,11
"monture_2009",-11,-13,-13,-12,-12,-11,-12,-12,-12,-10,-13,-12,-13,-13,-11,-11.3590013046055,-13,-10,-8,-13,-9,-13,-13,-15,-15,-14,-13,-10,-14,-13,-13,-14,-14,-17,-7,-7,-5,-5,-3,-5,-18
"monture_2010",-7,-8,-7,-6,1,1,-3,1,1,-1,-4,1,-4,-4,-1,-0.951606447183167,2,-1,0,1,0,0,0,-7,-7,2,-1,-2,-2,0,0,2,2,-2,0,0,-7,-7,-1,-7,-8
"monture_2011",1,-2,-3,1,-3,-3,-2,-3,-3,-1,-3,-3,-3,-2,-3,-4.61184212128796,-4,-3,-2,-4,-3,-5,-5,-7,-7,-4,-5,-3,-7,-5,-5,-4,-4,-5,1,0,6,6,4,6,-14
"monture_2012",14,16,14,18,9,9,16,9,9,13,15,9,15,15,11,8.95982197145617,13,8,10,13,10,11,10,1,4,13,10,8,11,11,11,13,13,10,7,7,1,1,9,1,-1
"monture_2013",-6,-3,-4,-8,-6,-6,-3,-6,-6,-4,-4,-6,-3,-3,-3,-7.01706832605385,-4,-3,-3,-4,-4,-5,-5,-8,-8,-4,-5,-11,-8,-5,-5,-4,-4,-8,-7,-7,-9,-9,-6,-9,-4
"monture_2014",14,4,11,6,4,4,7,4,4,7,5,4,6,6,1,3.341938473732,4,5,4,4,4,3,3,9,-5,4,2,4,1,3,3,4,4,2,5,4,8,8,9,8,-5
"monture_2015",1,1,-2,0,-6,-5,1,-6,-6,2,-1,-6,0,0,1,-6.01304195905536,-1,-2,-4,-1,-4,-4,-4,-7,-6,-2,-2,-10,-5,-4,-4,-2,-2,-7,-10,-10,-8,-8,-8,-8,-15
"monture_2016",-13,-11,-12,-11,-17,-17,-6,-17,-17,-12,-8,-17,-8,-7,-11,-20.9231764091724,-13,-17,-18,-14,-17,-16,-16,-19,-19,-14,-14,-19,-16,-16,-16,-14,-14,-17,-25,-26,-19,-20,-25,-19,-10
"monture_2017",-8,-7,-8,-4,-12,-13,-11,-12,-12,-10,-12,-12,-11,-11,-11,-16.3759015990035,-13,-14,-16,-13,-15,-15,-15,-9,-15,-14,-14,-13,-15,-15,-15,-14,-14,-13,-16,-17,-15,-15,-13,-15,-29
"monture_2018",-2,-2,-2,-9,-6,-7,-6,-6,-6,-5,-7,-6,-7,-7,-7,-7.48182182455494,-7,-7,-8,-7,-8,-8,-9,-8,-8,-8,-8,-6,-9,-8,-8,-8,-8,-12,-4,-6,-1,-1,0,-1,2
"nationalelkrefuge_2016",-14,-13,-13,-13,-15,-15,-11,-15,-15,-13,-13,-15,-12,-12,-13,-17.7250848581338,-16,-16,-14,-16,-16,-17,-17,-14,-15,-16,-18,-11,-17,-17,-17,-16,-16,-18,-11,-11,-5,-5,-12,-5,-39
"nationalelkrefuge_2017",-2,-2,-2,1,-6,-7,-5,-6,-6,-5,-6,-6,-5,-5,-8,-11.2234800955622,-9,-13,-9,-9,-10,-11,-11,-9,-9,-9,-14,-8,-14,-11,-11,-9,-9,-7,-3,-3,-9,-9,0,-9,-27
"nationalelkrefuge_2018",-10,-13,-10,-18,-14,-12,-14,-14,-14,-12,-15,-14,-14,-14,-11,-13.3099699319498,-15,-10,-9,-15,-11,-15,-15,-12,-12,-15,-15,-14,-13,-15,-15,-15,-15,-16,-4,-5,-4,-4,-5,-4,-8
"nationalelkrefuge_2019",4,3,4,3,-1,3,0,-1,-1,2,-2,-1,-1,-1,1,-0.322041694461404,-2,0,4,-3,1,-2,-1,-1,5,-2,-4,6,1,-2,-2,-2,-2,-2,12,12,8,8,13,8,1
"nationalelkrefuge_2020",-7,-15,-9,-16,-8,-7,-9,-8,-8,-7,-11,-8,-9,-9,-7,-7.88701925244669,-10,-6,-6,-10,-8,-10,-9,-8,-9,-10,-14,-5,-13,-10,-10,-10,-10,-12,1,1,-7,-7,1,-7,-15
"NEON.D09.DCFS.DP1.00033_2018",-9,-9,-8,-10,-13,-13,-14,-13,-13,-12,-14,-13,-14,-14,-8,-9.09006969689671,-13,-10,-12,-13,-11,-12,-12,-18,-13,-13,-9,-5,-10,-12,-12,-13,-13,-12,-6,-6,5,5,-7,5,5
"NEON.D09.DCFS.DP1.00033_2019",-8,-8,-8,-8,-5,-7,-10,-5,-5,-7,-11,-5,-10,-10,-7,-7.70594368036348,-10,-7,-10,-9,-9,-8,-9,-7,-1,-10,-7,-3,-4,-8,-8,-10,-10,-6,-1,-1,0,0,-2,0,-4
"NEON.D09.DCFS.DP1.00033_2020",-11,-11,-10,-14,-9,-9,-7,-9,-9,-11,-8,-9,-7,-7,-8,-5.23245801748828,-8,-7,-8,-8,-7,-7,-7,-9,-9,-8,-7,-6,-6,-7,-7,-8,-8,-7,-2,-2,6,6,-3,6,-7
"NEON.D09.NOGP.DP1.00033_2018",-6,-3,-3,-3,-9,-6,-9,-9,-9,-8,-10,-9,-9,-9,-7,-5.03819024120733,-9,-5,-7,-9,-7,-8,-8,-8,-4,-9,-6,-3,-6,-8,-8,-9,-9,-9,-4,-4,-3,-3,-5,-3,13
"NEON.D09.NOGP.DP1.00033_2019",1,0,0,2,2,-1,-3,2,2,0,-4,2,-3,-3,-3,-1.44245514268619,-3,-3,-3,-2,-2,-2,-3,2,4,-3,0,5,4,-2,-2,-3,-3,0,3,3,4,4,3,4,3
"NEON.D09.NOGP.DP1.00033_2020",-9,-7,-7,-8,-6,-5,-3,-6,-6,-8,-4,-6,-3,-3,-7,-3.30357260858452,-5,-7,-6,-5,-6,-5,-5,-11,-11,-5,-6,-6,-6,-5,-5,-5,-5,-7,-4,-4,-11,-11,-6,-11,-10
"NEON.D09.WOOD.DP1.00033_2017",2,6,6,-1,12,10,14,12,12,11,13,12,14,14,16,11.4591062814559,12,10,11,13,13,13,12,10,10,12,15,15,17,13,13,12,12,14,11,11,10,10,11,10,19
"NEON.D09.WOOD.DP1.00033_2018",0,0,1,-2,-3,-3,-3,-3,-3,-3,-4,-3,-4,-4,1,0.306829239446131,-4,0,-2,-3,-2,-2,-2,-3,-1,-4,0,4,0,-2,-2,-4,-4,-3,4,4,15,15,3,15,15
"NEON.D09.WOOD.DP1.00033_2019",2,3,3,3,5,4,1,5,5,3,0,5,0,0,3,2.89740314084563,0,3,0,1,2,2,1,4,7,0,4,7,6,2,2,0,0,4,10,10,11,11,9,11,7
