model,site,year,predicted
CanESM2.CanRCM4,oakville,2057,124
CanESM2.CanRCM4,oakville,2058,127
CanESM2.CanRCM4,oakville,2059,131
CanESM2.CanRCM4,oakville,2060,139
CanESM2.CanRCM4,oakville,2061,132
CanESM2.CanRCM4,oakville,2062,129
CanESM2.CanRCM4,oakville,2063,132
CanESM2.CanRCM4,oakville,2064,128
CanESM2.CanRCM4,oakville,2065,132
CanESM2.CanRCM4,oakville,2066,121
CanESM2.CanRCM4,oakville,2067,143
CanESM2.CanRCM4,oakville,2068,131
CanESM2.CanRCM4,oakville,2069,132
CanESM2.CanRCM4,oakville,2070,132
CanESM2.CanRCM4,oakville,2071,131
CanESM2.CanRCM4,oakville,2072,123
CanESM2.CanRCM4,oakville,2073,137
CanESM2.CanRCM4,oakville,2074,121
CanESM2.CanRCM4,oakville,2075,130
CanESM2.CanRCM4,oakville,2076,133
CanESM2.CanRCM4,oakville,2077,126
CanESM2.CanRCM4,oakville,2078,126
CanESM2.CanRCM4,oakville,2079,137
CanESM2.CanRCM4,oakville,2080,134
CanESM2.CanRCM4,oakville,2081,123
CanESM2.CanRCM4,oakville,2082,127
CanESM2.CanRCM4,oakville,2083,127
CanESM2.CanRCM4,oakville,2084,120
CanESM2.CanRCM4,oakville,2085,120
CanESM2.CanRCM4,oakville,2086,129
CanESM2.CanRCM4,oakville,2087,119
CanESM2.CanRCM4,oakville,2088,139
CanESM2.CanRCM4,oakville,2089,136
CanESM2.CanRCM4,oakville,2090,126
CanESM2.CanRCM4,oakville,2091,132
CanESM2.CanRCM4,oakville,2092,120
CanESM2.CanRCM4,oakville,2093,134
CanESM2.CanRCM4,oakville,2094,133
CanESM2.CanRCM4,oakville,2095,126
CanESM2.CanRCM4,oakville,2096,131
CanESM2.CanRCM4,oakville,2097,123
CanESM2.CanRCM4,oakville,2098,134
CanESM2.CanRCM4,oakville,2099,130
CanESM2.CanRCM4,oakville,2100,127
CanESM2.CanRCM4,vaira,2007,46
CanESM2.CanRCM4,vaira,2008,67
CanESM2.CanRCM4,vaira,2009,76
CanESM2.CanRCM4,vaira,2010,47
CanESM2.CanRCM4,vaira,2011,57
